Pipe created successfully
Pipe created successfully
God task created successfully
User Interaction task created successfully
Semaphore created successfully
Tower task started!
Tower task started!
Monster task started!
Monster task started!
Monster task started!
Monster task started!
Monster task started!
Monster task started!
Monster task started!
Monster task started!
Monster task started!
Last instance period =    234 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    275 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    189 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    362 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    230 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    261 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    148 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    219 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    281 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    188 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    165 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    158 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    163 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    214 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    195 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    155 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    267 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    203 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    292 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    277 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    201 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    376 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    217 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    172 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    172 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    179 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    185 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    232 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    169 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    165 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    174 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    257 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    145 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    146 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    157 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    302 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    153 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    157 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    166 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    281 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    175 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    163 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    149 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    314 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    165 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    165 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    201 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    349 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    173 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    195 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    166 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    282 Maximum =    823 Minumum =    140 (us), Seconds: 
