Last instance period =      5 Maximum =     90 Minumum =      4 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      4 (us), Seconds: 
Last instance period =      4 Maximum =     90 Minumum =      4 (us), Seconds: 
Last instance period =      1 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      5 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      5 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =     12 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      6 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =     12 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =     15 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =     16 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      6 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      6 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =     10 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =     13 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =     10 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =     13 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      6 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =     11 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =     22 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =     15 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =     18 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =     18 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =     10 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =     20 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      1 (us), Seconds: 
Last instance period =     13 Maximum =     90 Minumum =      1 (us), Seconds: 
